sentence1,sentence2,drug
We present a case of a 63-year-old male who presented to the emergency department after one week of severe neck pain along with pleuritic chest pain.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
"In our case, a 44-year-old male presented to the emergency department (ED) with a 3-month history of left-sided chest pain and swelling of the chest wall.","In this case, a 23-year-old male with no prior medical history presented to the emergency department with chest pain and dyspnea following intense training for a triathlon.",Chest pain
We present a rare case of a 57-year-old Saudi male who presented to the ER with chest pain and dyspnea.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
"In this case, a 57-year-old woman with a history of hypertension presented to the emergency department complaining of chest pain and was found to have a splenic hematoma.","In this case, a 23-year-old male with no prior medical history presented to the emergency department with chest pain and dyspnea following intense training for a triathlon.",Chest pain
"We report the case of a 49-year-old male smoker and diabetic, with a history of myocardial infarction, who presented to the emergency department due to 2 h typical cardiac chest pain.",CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
We present the case of a 39-year-old male with a past medical history of hypertension who was brought to the emergency department due to complaints of worsening recurrent intermittent squeezing left-sided chest pain of two months duration.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
CASE REPORT We report a case of a 24-year-old male patient with TP who presented to the Emergency Department with severe epigastric abdominal pain with a clinical picture of acute pancreatitis.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
"We report the case of a 52-y-old man with a history of diabetes for the previous 5 y, who presented to the cardiology outpatient department because of occasional chest pain and dyspnea.",CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
We present the case of a 30-year-old male with a past medical history of ADPKD who was admitted to the emergency department due to sudden chest pain and signs of congestive heart failure for weeks.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
This case report and review describes a 31-year-old man with a history of chronic pancreatitis who presented to the hospital with shortness of breath and left-sided chest pain.,"This case report describes a 42-year-old man with no significant medical history, who initially presented with symptoms resembling community-acquired pneumonia, including fever, shortness of breath, and pleuritic chest pain.",Chest pain
We present the case of a 35-year-old man who presented to hospital with a history of COVID-19 infection and seven days of chest pain and dyspnoea.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
"In our case, a 44-year-old male presented to the emergency department (ED) with a 3-month history of left-sided chest pain and swelling of the chest wall.",CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
"Case summary
A 34-year-old woman presented with left-sided pleuritic chest pain, haemoptysis, and flu-like symptoms.","Case summary
A 28-year-old man, with no past medical history, presented with haemoptysis, chest pain, and dyspnoea on exertion.",Chest pain
"We report the case of a 29-year-old woman admitted for acute chest pain, associated with lightheadedness and syncope.","CASE PRESENTATION
We report the case of a young woman presenting with acute chest pain and no coronary risk factors.",Chest pain
"We report the case of a 76-year-old woman with diabetes who developed sudden, severe chest pain and palpitations after cataract surgery.","We report the case of a 36-year-old woman who presented with substernal, pressure-like chest pain without aggravating, alleviating, or associated symptoms.",Chest pain
We present a case of a 59-year-old postmenopausal female with a past medical history of asthma who arrived at the ED complaining of chest pain following dental extraction.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
"Case Report
We describe a 54-year-old male with a known history of EGPA and coronary artery disease presenting to the emergency department with chest pain and an inferior STEMI on electrocardiogram.",CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
"We report the case of a 29-year-old woman admitted for acute chest pain, associated with lightheadedness and syncope.","We report the case of a 36-year-old woman who presented with substernal, pressure-like chest pain without aggravating, alleviating, or associated symptoms.",Chest pain
We report the case of a 64-year-old female with a history of hypothyroidism and isolated parotid sarcoidosis who presented with acute-onset chest pain and dyspnea.,We report a case of a 72-year-old female who presented to the emergency room with severe anginal chest pain without any preceding stress.,Chest pain
We present a case of a 63-year-old male who presented to the emergency department after one week of severe neck pain along with pleuritic chest pain.,We report a case of a 72-year-old female who presented to the emergency room with severe anginal chest pain without any preceding stress.,Chest pain
"Case report
We describe a case of a 23-year-old, previously healthy male, who presented to the emergency department with a two-day history of hemoptysis, mild dyspnea, pleuritic chest pain, fevers, and chills.",CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
We report the case of a 64-year-old female with a history of hypothyroidism and isolated parotid sarcoidosis who presented with acute-onset chest pain and dyspnea.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
We report a case of an 87-year-old male patient with a known diagnosis of BHD and a large pericardial cyst who presented to the emergency room with chest pain.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
We present a case of a 55-year-old man who presented to the hospital with progressive exertional dyspnea and right-sided pleuritic chest pain for the past few days.,CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
We present a rare case of a 57-year-old Saudi male who presented to the ER with chest pain and dyspnea.,We report a case of a 72-year-old female who presented to the emergency room with severe anginal chest pain without any preceding stress.,Chest pain
"We present a case of a 47-year-old female with no known past medical history who presented to the emergency department with complaints of left-sided facial droop, dysphagia, pressure-like chest pain, and progressively worsening bilateral upper and lower extremity weakness.",CASE REPORT We present the case of a 13-year-old male with no previous medical history who presented to the Emergency Department with progressive left-sided chest pain following a sports-related fall.,Chest pain
We report a case of a 33-year-old woman with a background of Neurofibromatosis type 1 who presented with left-sided chest pain and shortness of breath.,"We report the case of a 36-year-old woman who presented with substernal, pressure-like chest pain without aggravating, alleviating, or associated symptoms.",Chest pain
We present an intriguing case of a 67-year-old female who presented to the hospital with sudden chest pain preceded by viral prodromal symptoms.,We report a case of a 72-year-old female who presented to the emergency room with severe anginal chest pain without any preceding stress.,Chest pain
