sentence1,sentence2,drug
"CONCLUSION
The combination of occlusion of the lateral semicircular canal, endolymphatic sac surgery, and CI is an efficient low traumatic treatment for patients with a single-sided MD and moderately severe to complete sensorineural hearing loss.",The combination of both procedures with CI has not been investigated; therefore the objective of this study was to investigate the outcome of this combination in patients with single-sided MD and moderately severe to complete sensorineural hearing loss.,Dizziness
Systemic antibiotics versus placebo with surgical intervention and analgesics for symptomatic apical periodontitis or acute apical abscess One trial (72 participants) compared the effects of a single preoperative dose of clindamycin versus a matched placebo when provided with a surgical intervention (endodontic chemo-mechanical debridement and filling) and analgesics to adults with symptomatic apical periodontitis.,Systemic antibiotics without surgical intervention for adults with symptomatic apical periodontitis or acute apical abscess We found no studies that compared the effects of systemic antibiotics with a matched placebo delivered without a surgical intervention for symptomatic apical periodontitis or acute apical abscess in adults.,Dizziness
"Neurohormones versus placebo At short-term follow-up, neurohormones may have minimal to no clear effect on irritability when compared to placebo (SMD -0.18, 95% CI -0.37 to -0.00; 8 studies; 466 participants; very low-certainty evidence), although the evidence is very uncertain.","Antidepressants versus placebo At short-term follow-up, there was no clear evidence that antidepressants have an effect on irritability (SMD -0.06, 95% CI -0.30 to 0.18; 3 studies, 267 participants; low-certainty evidence).",Dizziness
"OBJECTIVE
ESPRITE (Study 508; NCT03836924) evaluated the real-world safety, tolerability, and efficacy of adjunctive perampanel in patients aged ≥12 years with focal-onset seizures (FOS), with or without focal to bilateral tonic-clonic seizures (FBTCS), in India.","METHODS
This was a multicenter, retrospective, non-interventional study of Korean patients aged ≥12 years with focal-onset seizures (FOS) with or without focal to bilateral tonic-clonic seizures.",Dizziness
The objective of this study was to evaluate the efficacy and safety of a fixed-dose combination (FDC) of low-dose pregabalin and duloxetine compared to pregabalin monotherapy at week 7 in patients with moderate to severe neuropathic pain.,The combination of both procedures with CI has not been investigated; therefore the objective of this study was to investigate the outcome of this combination in patients with single-sided MD and moderately severe to complete sensorineural hearing loss.,Dizziness
Systemic antibiotics versus placebo with surgical intervention and analgesics for symptomatic apical periodontitis or acute apical abscess One trial (72 participants) compared the effects of a single preoperative dose of clindamycin versus a matched placebo when provided with a surgical intervention (endodontic chemo-mechanical debridement and filling) and analgesics to adults with symptomatic apical periodontitis.,We found no studies which compared the effects of systemic antibiotics with a matched placebo delivered without a surgical intervention for symptomatic apical periodontitis or acute apical abscess in adults.,Dizziness
Two trials (62 participants) compared the effects of a seven-day course of oral phenoxymethylpenicillin (penicillin VK) versus a matched placebo when provided with a surgical intervention (total or partial endodontic chemo-mechanical debridement) and analgesics to adults with acute apical abscess or symptomatic necrotic tooth.,Systemic antibiotics without surgical intervention for adults with symptomatic apical periodontitis or acute apical abscess We found no studies that compared the effects of systemic antibiotics with a matched placebo delivered without a surgical intervention for symptomatic apical periodontitis or acute apical abscess in adults.,Dizziness
"SELECTION CRITERIA
Randomised controlled trials of systemic antibiotics in adults with a clinical diagnosis of symptomatic apical periodontitis or acute apical abscess, with or without surgical intervention (considered in this situation to be extraction, incision and drainage, or endodontic treatment) and with or without analgesics.",Systemic antibiotics without surgical intervention for adults with symptomatic apical periodontitis or acute apical abscess We found no studies that compared the effects of systemic antibiotics with a matched placebo delivered without a surgical intervention for symptomatic apical periodontitis or acute apical abscess in adults.,Dizziness
"CASE PRESENTATION
A 58-year-old woman with a history of hepatobiliary cholangiocarcinoma presented with a recent onset of unsteady walking, dizziness, vomiting, and worsening occipital headaches.","A man in his late 40s with no significant medical history presented with 2 weeks of lethargy, nausea and dizziness, alongside worsening headaches.",Dizziness
"Case Presentation
A 20-year-old male presented with fever, dizziness, and gastrointestinal symptom, which progressed to acute pancreatitis and leukemoid reaction.","CASE PRESENTATION
An 82-year-old male presented with non-specific neurological symptoms including dizziness, fever, and seizures, without any reported symptoms of primary gastric involvement.",Dizziness
A 42-year-old woman with SLE under treatment with corticosteroids and hydroxychloroquine was admitted for recurrence of SLE with thrombocytopenia and nephritis.,"The patient was a 42-year-old male, presented with dizziness and unsteady walking for about 6 months, without symptoms of cranial nerve deficit.",Dizziness
The objective of this study was to compare the safety and efficacy of intermittent intravenous boluses of phenylephrine and norepinephrine used in equipotent doses for treating postspinal hypotension in patients with severe pre-eclampsia during cesarean section.,The combination of both procedures with CI has not been investigated; therefore the objective of this study was to investigate the outcome of this combination in patients with single-sided MD and moderately severe to complete sensorineural hearing loss.,Dizziness
"After nursing, the Dizziness Handicap Inventory (DHI) scale and DHI-P, DHI-E and DHI-F scores in the two groups were decreased, and the scores in the nursing group were lower than those in the control group, and the difference was statistically significant (P < 0.05).",There was no significant difference in the scores of Hospital Anxiety and Depression Scale (HADS) and anxiety and depression subscales between the two groups before nursing (P > 0.05).,Dizziness
"METHODS
We retrospectively collected data from 440 patients who visited our post-COVID-19 clinic more than 4 weeks after severe acute respiratory syndrome coronavirus 2 infection.","Introduction
Data on the management of patients aged more than 85 years with chronic hepatitis C virus (HCV) and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) sequential infections are lacking.",Dizziness
"Attention-deficit hyperactivity disorder (ADHD)-related medications versus placebo At short-term follow-up, ADHD-related medications may reduce irritability slightly (SMD -0.20, 95% CI -0.40 to -0.01; 10 studies, 400 participants; low-certainty evidence), which may indicate a small effect.","Antidepressants versus placebo At short-term follow-up, there was no clear evidence that antidepressants have an effect on irritability (SMD -0.06, 95% CI -0.30 to 0.18; 3 studies, 267 participants; low-certainty evidence).",Dizziness
We report a rare case of AP in a 69-year-old patient who is right-hand dominant with rectal carcinoma cerebral metastases.,"We present a case of a patient who developed adult-onset opsoclonus-myoclonus-ataxia syndrome (OMAS) without any associated infectious or neoplastic disease, a condition that is considered very rare in Central America.",Dizziness
"At the 3-month follow-up, 58 (31.9%) patients continued to experience dizziness and unsteadiness, with significantly decreased quality of life and a high risk of falls.","To date, in Poland, a cross-cultural adapted version of a disease-specific questionnaire for the measurement of quality of life (QoL) in patients with VS has not been produced.",Dizziness
"METHODS
A prospective study was conducted of 30 consecutive patients diagnosed with idiopathic sudden sensorineural hearing loss with dizziness without true vertigo.","METHODS
This was a multicenter, retrospective, non-interventional study of Korean patients aged ≥12 years with focal-onset seizures (FOS) with or without focal to bilateral tonic-clonic seizures.",Dizziness
Patient with a known case of coronary artery disease presented with complaints of heaviness in the chest with pain radiating to the left shoulder joint with sweating and dizziness for 6 months.,"The patient was a 42-year-old male, presented with dizziness and unsteady walking for about 6 months, without symptoms of cranial nerve deficit.",Dizziness
"METHODS
This prospective cohort study included 100 participants 18 years and older seeking care at a balance disorders clinic for dizziness.","Design, Setting, and Participants
This prospective cohort study involved healthy individuals at altitude (8849 m) on Mount Everest, Nepal.",Dizziness
"With 28 patients in each group, the study was powered a priori at 90% to detect a clinically important difference of 2 points in the VAS for pain.","To date, in Poland, a cross-cultural adapted version of a disease-specific questionnaire for the measurement of quality of life (QoL) in patients with VS has not been produced.",Dizziness
