sentence1,sentence2,drug
"Background
Since treatment of neuroblastoma (NB) with anti-GD2 monoclonal antibodies provides a survival benefit in children with minimal residual disease and our preclinical study shows that anti-CD3 x anti-GD2 bispecific antibody (GD2Bi) armed T cells (GD2BATs) were highly cytotoxic to GD2+ cell lines, we conducted a phase I/II study in recurrent/refractory patients to establish safety and explore the clinical benefit of GD2BATs.","BACKGROUND
The survival benefit observed in children with neuroblastoma (NB) and minimal residual disease who received treatment with anti-GD2 monoclonal antibodies prompted our investigation into the safety and potential clinical benefits of anti-CD3×anti-GD2 bispecific antibody (GD2Bi) armed T cells (GD2BATs).",Headaches
This systematic review assessed the effectiveness of anticholinergic agents to prevent neuroleptic or metoclopramide-induced akathisia in patients presenting to the emergency department (ED) with benign headache.,"CONCLUSION
This review found insufficient evidence to recommend the use of diphenhydramine as an adjunct therapy to prevent akathisia in ED patients treated with neuroleptics or metoclopramide for primary headache.",Headaches
We present the case of a 46-year-old Indian woman with a history of chronic hepatitis B (HBV) who presented with an insidious onset of right-sided limb weakness and bi-frontal headaches.,"CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"We report a case of a 17-year-old male patient who came to the emergency department with abdominal pain, headaches for two days, lethargy, and Kussmaul breathing.","CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"Case Presentation
We present the case of a 57-year-old patient with scleromyxedema and monoclonal gammopathy with end-stage renal failure on hemodialysis (3 times a week).","CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"This retrospective single-center study analyzed the neurologic complications in 2 cohorts of patients undergoing HSCT with either CNI-based GVHD prophylaxis (n = 523) or CNI-free prophylaxis with post-transplantation cyclophosphamide, sirolimus, and mycophenolate mofetil (n = 371).","However, there is a lack of studies comparing the incidence and characteristics of neurologic complications in patients undergoing HSCT based on CNI-free or CNI-based GVHD prophylaxis.",Headaches
"Case presentation
The authors report a 35-year-old Arabian male who presented to the ER with a history of sudden loss of consciousness, anisocoria, and right hemiparesis.","We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
"Case presentation
The authors report a 35-year-old Arabian male who presented to the ER with a history of sudden loss of consciousness, anisocoria, and right hemiparesis.","CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"CASE PRESENTATION
A 40-year-old Asian female presented with a three-month history of watery discharge from her left nostril and dull headaches localized to the left side of her head.","Case Presentation
The patient, a Japanese woman in her 80s, presented with headaches at the back of the head and a history of multiple unruptured cerebral aneurysms but no recent head trauma.",Headaches
We report a case of Acanthamoeba rhinosinusitis in a patient with chronic lymphocytic leukemia who presented with headaches and chronic rhinosinusitis refractory to multiple courses of antibiotics.,"We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
"The authors present the case of a 23-year-old patient with a history of childhood medulloblastoma and prior ventriculoperitoneal shunt (VPS), chemotherapy, and CSI who presented with headaches and new-onset seizures.","CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"CASE PRESENTATION
A 58-year-old woman with a history of hepatobiliary cholangiocarcinoma presented with a recent onset of unsteady walking, dizziness, vomiting, and worsening occipital headaches.","Case Presentation
The patient, a Japanese woman in her 80s, presented with headaches at the back of the head and a history of multiple unruptured cerebral aneurysms but no recent head trauma.",Headaches
We present the case of a 25-year-old female with End-Stage Renal Disease (ESRD) and Idiopathic Intracranial Hypertension (IIH) who developed severe headaches during haemodialysis (HD).,"CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
The patient presented as a transfer for an abnormal head MRI with a three-month history of progressive occipital headaches and shortness of breath.,"CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"OBSERVATIONS
The authors describe the case of HCDAVF in a 74-year-old male who presented with pulsatile tinnitus (PT) lasting 3 months and significant fatigue, headaches, and dizziness.","We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
"We report a case of a 17-year-old male patient who came to the emergency department with abdominal pain, headaches for two days, lethargy, and Kussmaul breathing.","We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
"Case presentation
The authors report a 35-year-old Arabian male who presented to the ER with a history of sudden loss of consciousness, anisocoria, and right hemiparesis.",This report describes the case of a 53-year-old man with no known medical history who experienced severe headaches and vomiting while on a business trip to Pakistan.,Headaches
"CASE
A 50-year-old male with a prior history of cecal adenocarcinoma and colectomy presented with left eye proptosis and new-onset headaches.","We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
"We report the case of a 26-year-old female patient admitted for recurrent headaches and vomiting, with a profound normovolemic hyponatremia at the initial assessment.","CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"We report a rare case of a 39-year-old man who presented with subacute onset of headaches and confusion, and three days later developed quadriplegia and areflexia.","We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
"We present the case of a 57-year-old male with neck pain, fever, chills, and headaches who was diagnosed with internal jugular vein septic thrombophlebitis associated with catheter-related introduction of bacteria.","CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"OBJECTIVE
This study's objective was to identify the factors and impact of serums calcium 25-Hydroxy vitamin D, ferritin, uric acid, and sleeping disorders on benign paroxysmal positional vertigo (BPPV) patients.","CONCLUSIONS
The results revealed that the serum levels of vitamin D, ferritin, uric acid, and calcium are low among the study population and supplementation could be considered as prevention in BPPV patients.",Headaches
"We report a case of a 55-year-old woman who presented to hospital with headaches, petechial rashes and bruising-7 days after receiving her first vaccine dose.","We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
"This case report describes a 51-year-old male with a history of mandibular rhabdomyosarcoma presenting with severe shoulder and hip pain, dysphagia, and headaches, initially suspected to be a cancer recurrence.",This report describes the case of a 53-year-old man with no known medical history who experienced severe headaches and vomiting while on a business trip to Pakistan.,Headaches
"We report a case of a 17-year-old male patient who came to the emergency department with abdominal pain, headaches for two days, lethargy, and Kussmaul breathing.",This report describes the case of a 53-year-old man with no known medical history who experienced severe headaches and vomiting while on a business trip to Pakistan.,Headaches
"This case report details the case of a 70-year-old man with Marfan syndrome and hypertension who developed neutropenia after an eight-week course of ceftriaxone, used to treat a brain abscess.",This report describes the case of a 53-year-old man with no known medical history who experienced severe headaches and vomiting while on a business trip to Pakistan.,Headaches
The patient presented as a transfer for an abnormal head MRI with a three-month history of progressive occipital headaches and shortness of breath.,"Case Presentation
The patient, a Japanese woman in her 80s, presented with headaches at the back of the head and a history of multiple unruptured cerebral aneurysms but no recent head trauma.",Headaches
"CASE PRESENTATION
We present a 35-year-old G4P4 woman with progressive vision loss and intermittent frontal headaches during her first trimester through 2 months postpartum.","CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
"We present a detailed case report of a 54-year-old female patient who presented with THS with the classical symptoms of THS including unilateral headache, double vision, and orbital pain.","CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
We report a case of Acanthamoeba rhinosinusitis in a patient with chronic lymphocytic leukemia who presented with headaches and chronic rhinosinusitis refractory to multiple courses of antibiotics.,"CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
We present the case of a 6-year-old male with a history of autism spectrum disorder who presented with 6 months of headaches and associated vomiting and intermittent fevers with negative infectious workup despite cerebrospinal fluid pleocytosis.,"We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
"Case presentation
A 48-year-old previously well woman presented to the emergency department with severe headaches and confusion one day after she received her second Pfizer COVID-19 vaccination.","Case Presentation
The patient, a Japanese woman in her 80s, presented with headaches at the back of the head and a history of multiple unruptured cerebral aneurysms but no recent head trauma.",Headaches
"CASE PRESENTATION
A 58-year-old woman with a history of hepatobiliary cholangiocarcinoma presented with a recent onset of unsteady walking, dizziness, vomiting, and worsening occipital headaches.","Case Presentation
A 54-year-old woman with no relevant medical history presented with a 2-week history of diplopia and no loss of visual acuity in each eye.",Headaches
We report the case of a 25-year-old female patient who presented to our emergency department with a one-month history of headaches and associated blurred vision following a normal vaginal delivery with EA.,"We describe a case of a 21-year-old male with no significant medical history who presented with intermittent headaches and vomiting, progressing to continuous symptoms.",Headaches
We present the case of a 6-year-old male with a history of autism spectrum disorder who presented with 6 months of headaches and associated vomiting and intermittent fevers with negative infectious workup despite cerebrospinal fluid pleocytosis.,"CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
We report the case of a 25-year-old female patient who presented to our emergency department with a one-month history of headaches and associated blurred vision following a normal vaginal delivery with EA.,"CASE PRESENTATION
We present the case of a 59-year-old male patient who had a history of progressive left-sided weakness and right-sided headaches with no respiratory symptoms.",Headaches
